video_title,show_title,season_title,category,country_name,lifetime_duration,highest_rank
Back to the Outback,Back to the Outback,N/A,Films,United Kingdom,3,3
Back to the Outback,Back to the Outback,N/A,Films,United States,4,3
Backtrace,Backtrace,N/A,Films,Brazil,1,4
Backtrace,Backtrace,N/A,Films,Mexico,1,5
Backtrace,Backtrace,N/A,Films,United States,2,5
Bad Boys for Life,Bad Boys for Life,N/A,Films,Japan,2,2
Bad Boys for Life,Bad Boys for Life,N/A,Films,United Kingdom,2,2
Bad Vegan: Fame. Fraud. Fugitives.: Limited Series,Bad Vegan: Fame. Fraud. Fugitives.,Bad Vegan: Fame. Fraud. Fugitives.: Limited Series,TV,United Kingdom,1,7
Bad Vegan: Fame. Fraud. Fugitives.: Limited Series,Bad Vegan: Fame. Fraud. Fugitives.,Bad Vegan: Fame. Fraud. Fugitives.: Limited Series,TV,United States,2,3
Bake Squad: Season 1,Bake Squad,Bake Squad: Season 1,TV,United States,1,8
Baki Hanma: Season 1,Baki Hanma,Baki Hanma: Season 1,TV,France,1,8
Baki Hanma: Season 1,Baki Hanma,Baki Hanma: Season 1,TV,Japan,3,4
"Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside: Season 1","Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside","Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside: Season 1",TV,Japan,2,5
Bankrolled,Bankrolled,N/A,Films,Mexico,1,8
Barbecue,Barbecue,N/A,Films,France,2,3
Barbie Big City Big Dreams,Barbie Big City Big Dreams,N/A,Films,Brazil,1,10
Barbie Big City Big Dreams,Barbie Big City Big Dreams,N/A,Films,France,1,10
Barbie: A Fairy Secret,Barbie: A Fairy Secret,N/A,Films,Brazil,1,6
Barbie: Princess Charm School,Barbie: Princess Charm School,N/A,Films,Brazil,1,7
Bartkowiak,Bartkowiak,N/A,Films,Brazil,1,6
Bartkowiak,Bartkowiak,N/A,Films,France,1,4
Bartkowiak,Bartkowiak,N/A,Films,Mexico,1,6
"BASTARD‼ -Heavy Metal, Dark Fantasy-: Season 1","BASTARD‼ -Heavy Metal, Dark Fantasy-","BASTARD‼ -Heavy Metal, Dark Fantasy-: Season 1",TV,Japan,1,10
Battleship,Battleship,N/A,Films,United Kingdom,2,9
Battleship,Battleship,N/A,Films,United States,1,5
Baywatch,Baywatch,N/A,Films,France,3,3
Baywatch,Baywatch,N/A,Films,Japan,1,8
Beautiful Gong Shim: Season 1,Beautiful Gong Shim,Beautiful Gong Shim: Season 1,TV,Japan,3,7
Beauty and the Beast,Beauty and the Beast,N/A,Films,Brazil,1,10
Beauty and the Beast,Beauty and the Beast,N/A,Films,Mexico,1,5
Beckett,Beckett,N/A,Films,Brazil,2,6
Beckett,Beckett,N/A,Films,France,2,3
Beckett,Beckett,N/A,Films,Japan,1,5
Beckett,Beckett,N/A,Films,Mexico,2,5
Beckett,Beckett,N/A,Films,United Kingdom,2,2
Beckett,Beckett,N/A,Films,United States,2,3
Bedazzled,Bedazzled,N/A,Films,Mexico,1,10
Believe Me: The Abduction of Lisa McVey,Believe Me: The Abduction of Lisa McVey,N/A,Films,Brazil,1,10
Believe Me: The Abduction of Lisa McVey,Believe Me: The Abduction of Lisa McVey,N/A,Films,Mexico,1,10
Belzebuth,Belzebuth,N/A,Films,Mexico,2,4
Ben Is Back,Ben Is Back,N/A,Films,United States,1,5
Better Call Saul: Season 5,Better Call Saul,Better Call Saul: Season 5,TV,United States,3,3
Better Call Saul: Season 6,Better Call Saul,Better Call Saul: Season 6,TV,United Kingdom,5,6
