video_title,show_title,season_title,category,Brazil,France,Japan,Mexico,United_Kingdom,United_States
Cleveland Abduction,Cleveland Abduction,N/A,Films,1,0,0,1,0,0
Clickbait: Limited Series,Clickbait,Clickbait: Limited Series,TV,1,1,0,1,1,1
Close Enemies,Close Enemies,N/A,Films,0,1,0,0,0,0
Closed Ward,Closed Ward,N/A,Films,0,0,1,0,0,0
Clover,Clover,N/A,Films,0,0,1,0,0,0
Coach Carter,Coach Carter,N/A,Films,0,0,0,0,0,1
Cobra Kai: Season 1,Cobra Kai,Cobra Kai: Season 1,TV,0,0,0,0,1,1
Cobra Kai: Season 2,Cobra Kai,Cobra Kai: Season 2,TV,0,0,0,0,1,1
Cobra Kai: Season 3,Cobra Kai,Cobra Kai: Season 3,TV,0,0,0,0,1,1
Cobra Kai: Season 4,Cobra Kai,Cobra Kai: Season 4,TV,1,1,0,1,1,1
Cocaine Cowboys: The Kings of Miami: Limited Series,Cocaine Cowboys: The Kings of Miami,Cocaine Cowboys: The Kings of Miami: Limited Series,TV,0,0,0,0,1,1
CoComelon: Season 1,CoComelon,CoComelon: Season 1,TV,0,0,0,0,0,1
CoComelon: Season 2,CoComelon,CoComelon: Season 2,TV,0,0,0,0,0,1
CoComelon: Season 3,CoComelon,CoComelon: Season 3,TV,0,0,0,0,1,1
CoComelon: Season 4,CoComelon,CoComelon: Season 4,TV,0,0,0,0,0,1
CoComelon: Season 5,CoComelon,CoComelon: Season 5,TV,0,0,0,0,0,1
Cold Blood Legacy,Cold Blood Legacy,N/A,Films,0,1,0,0,0,0
Colin in Black & White: Limited Series,Colin in Black & White,Colin in Black & White: Limited Series,TV,0,0,0,0,0,1
Collision,Collision,N/A,Films,1,1,0,1,0,1
Compadres,Compadres,N/A,Films,0,0,0,1,0,0
Confessions of an Invisible Girl,Confessions of an Invisible Girl,N/A,Films,1,1,0,0,0,0
Constantine,Constantine,N/A,Films,0,0,0,0,1,0
Control Z: Season 1,Control Z,Control Z: Season 1,TV,0,0,0,1,0,0
Control Z: Season 2,Control Z,Control Z: Season 2,TV,1,0,0,1,0,0
Conversations with a Killer: The John Wayne Gacy Tapes: Limited Series,Conversations with a Killer: The John Wayne Gacy Tapes,Conversations with a Killer: The John Wayne Gacy Tapes: Limited Series,TV,0,1,0,1,1,1
Countdown,Countdown,N/A,Films,0,0,0,0,0,1
Cowboy Bebop: Season 1,Cowboy Bebop,Cowboy Bebop: Season 1,TV,1,1,1,0,1,1
Cracow Monsters: Season 1,Cracow Monsters,Cracow Monsters: Season 1,TV,0,1,0,0,0,0
Cradle 2 the Grave,Cradle 2 the Grave,N/A,Films,0,1,0,0,0,0
Crash Landing on You: Season 1,Crash Landing on You,Crash Landing on You: Season 1,TV,0,0,1,0,0,0
Crawl,Crawl,N/A,Films,1,0,0,1,0,0
Crayon Shin-chan the Movie: Crash! Rakuga-Kingdom and Almost Four Heroes,Crayon Shin-chan the Movie: Crash! Rakuga-Kingdom and Almost Four Heroes,N/A,Films,0,0,1,0,0,0
Crayon Shin-chan the Movie: Shrouded in Mystery! The Flowers of Tenkasu Academy,Crayon Shin-chan the Movie: Shrouded in Mystery! The Flowers of Tenkasu Academy,N/A,Films,0,0,1,0,0,0
Crime Scene: The Times Square Killer: Limited Series,Crime Scene: The Times Square Killer,Crime Scene: The Times Square Killer: Limited Series,TV,0,0,0,0,1,1
Criminal,Criminal,N/A,Films,0,0,0,0,1,0
Crô em Família,Crô em Família,N/A,Films,1,0,0,0,0,0
Cry Babies Magic Tears: Season 1,Cry Babies Magic Tears,Cry Babies Magic Tears: Season 1,TV,0,0,0,1,0,0
Cúmplices de um Resgate: Season 1,Cúmplices de um Resgate,Cúmplices de um Resgate: Season 1,TV,1,0,0,0,0,0
Cyber Hell: Exposing an Internet Horror,Cyber Hell: Exposing an Internet Horror,N/A,Films,0,0,1,0,0,0
D.P.: Season 1,D.P.,D.P.: Season 1,TV,0,0,1,0,0,0
Daddy's Home 2,Daddy's Home 2,N/A,Films,1,0,0,1,0,0
Dancing on Glass,Dancing on Glass,N/A,Films,0,0,0,1,0,0
Dangerous,Dangerous,N/A,Films,1,0,0,1,0,0
Dark Desire: Season 1,Dark Desire,Dark Desire: Season 1,TV,1,1,0,1,0,0
Dark Desire: Season 2,Dark Desire,Dark Desire: Season 2,TV,1,1,0,1,0,0
Dark Shadows,Dark Shadows,N/A,Films,0,0,0,0,0,1
Daughter From Another Mother: Season 1,Daughter From Another Mother,Daughter From Another Mother: Season 1,TV,0,0,0,1,0,0
Daughter From Another Mother: Season 2,Daughter From Another Mother,Daughter From Another Mother: Season 2,TV,1,0,0,1,0,0
Dave Chappelle: The Closer,Dave Chappelle: The Closer,N/A,TV,0,0,0,0,0,1
David and the Elves,David and the Elves,N/A,Films,1,0,0,1,0,0
Dead Man Down,Dead Man Down,N/A,Films,1,0,0,1,0,0
DEATH NOTE: Death Note,DEATH NOTE,DEATH NOTE: Death Note,TV,0,0,1,0,0,0
Death Race 2,Death Race 2,N/A,Films,0,1,0,0,0,0
Death to 2021,Death to 2021,N/A,Films,0,0,0,0,1,1
Deep Blue Sea 2,Deep Blue Sea 2,N/A,Films,0,0,1,0,0,0
Deep Impact,Deep Impact,N/A,Films,1,0,0,1,0,0
Deliver Us from Evil,Deliver Us from Evil,N/A,Films,0,1,0,0,0,0
Demon Slayer: Kimetsu no Yaiba: Entertainment District Arc,Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba: Entertainment District Arc,TV,0,0,1,0,0,0
Demon Slayer: Kimetsu no Yaiba: Mugen Train Arc,Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba: Mugen Train Arc,TV,0,0,1,0,0,0
