video_title,neg_sentiment_us,neu_sentiment_us,pos_sentiment_us
Tides,3,23,13
Tiger King 2,75,183,56
Till Death,100,61,27
Titanic,65,251,82
Too Hot to Handle: Season 2,83,91,41
Too Hot to Handle: Season 3,83,90,42
Top Boy: Season 2,44,52,30
Top Gun,171,1345,1088
Toscana,1,21,8
Trollhunters: Rise of the Titans,8,2,6
True Story: Limited Series,510,2348,678
Twentysomethings: Austin: Season 1,38,18,17
Twilight,79,362,149
U.S. Marshals,11,11,3
Under Suspicion,1,0,0
Untold: Malice at the Palace,17,20,15
Vicky and Her Mystery,0,0,1
Vikings: Valhalla: Season 1,13,41,24
Virgin River: Season 1,70,69,50
Virgin River: Season 2,70,69,50
Virgin River: Season 3,70,69,50
Vivo,7,60,53
War of the Worlds,19,32,16
Warrior,87,472,315
We Die Young,0,1,1
"Web of Make Believe: Death, Lies and the Internet: Season 1",1,0,0
Welcome to Eden: Season 1,5,8,6
White Hot: The Rise & Fall of Abercrombie & Fitch,1,0,0
Who Killed Sara?: Season 3,39,29,13
Wild Card,77,314,150
Wind River,4,4,6
Windfall,7,19,11
Wish Dragon,0,6,4
Without a Paddle,0,0,1
Workin' Moms: Season 6,15,17,20
Worst Roommate Ever: Season 1,68,39,45
Worth,29,98,49
Wrong Side of the Tracks: Season 1,0,3,1
You: Season 1,525,1525,633
You: Season 2,525,1525,633
You: Season 3,524,1525,633
