video_title,category,country_name,lifetime_duration,tweetvol,tweetsent,individualism,uncertainty_avoidance,neg_sentiment,neu_sentiment,pos_sentiment,averageRating,sequel,Drama,Horror,Mystery,Action,Adventure,Comedy,Romance,Thriller,Crime,Animation,highest_rank
The Harder They Fall,Films,France,2,10,6,71,86,1,3,6,6.6,0,1,0,0,1,0,0,0,0,0,0,2
The Harder They Fall,Films,United Kingdom,3,100,5.3,89,35,10,37,53,6.6,0,1,0,0,1,0,0,0,0,0,0,1
The Harder They Fall,Films,United States,4,1342,3.3735632183908044,91,46,174,560,587,6.6,0,1,0,0,1,0,0,0,0,0,0,1
The Holiday,Films,United Kingdom,3,106,1.121212121212121,89,35,33,36,37,6.9,0,0,0,0,0,0,1,1,0,0,0,6
The Holiday,Films,United States,6,33,6,91,46,3,12,18,6.9,0,0,0,0,0,0,1,1,0,0,0,7
The Hunt,Films,United Kingdom,3,13,2.5,89,35,2,6,5,6.5,0,0,1,0,1,0,0,0,1,0,0,2
The Ice Road,Films,United States,2,13,2,91,46,2,7,4,5.6,0,0,0,0,1,1,0,0,1,0,0,1
The In Between,Films,Brazil,4,7,0.5,38,76,2,4,1,5.9,0,1,0,0,0,0,0,1,0,0,0,1
The In Between,Films,United Kingdom,3,5,1,89,35,1,3,1,5.9,0,1,0,0,0,0,0,1,0,0,0,2
The Invisible Man,Films,United Kingdom,3,12,2,89,35,1,9,2,7.1,0,1,1,1,0,0,0,0,0,0,0,2
The Island,Films,United Kingdom,1,18,8,89,35,1,9,8,6.8,0,0,0,0,1,0,0,0,1,0,0,9
The Karate Kid,Films,United States,2,55,28,91,46,1,26,28,6.2,0,1,0,0,1,0,0,0,0,0,0,7
The King's Affection: Season 1,TV,Brazil,1,26,1.25,38,76,4,17,5,7.9,1,1,0,0,0,0,0,1,0,0,0,10
The Kissing Booth 3,Films,Brazil,2,17,2.3333333333333335,38,76,3,7,7,4.8,1,0,0,0,0,0,1,1,0,0,0,1
The Kissing Booth 3,Films,France,3,10,0.75,71,86,4,3,3,4.8,1,0,0,0,0,0,1,1,0,0,0,1
The Kissing Booth 3,Films,Mexico,2,10,0.5,30,82,4,4,2,4.8,1,0,0,0,0,0,1,1,0,0,0,1
The Kissing Booth 3,Films,United Kingdom,2,9,0.4,89,35,5,2,2,4.8,1,0,0,0,0,0,1,1,0,0,0,1
The Kissing Booth 3,Films,United States,2,40,0.8888888888888888,91,46,9,23,8,4.8,1,0,0,0,0,0,1,1,0,0,0,1
The Last Kingdom: Season 1,TV,United States,1,177,1.9230769230769231,91,46,39,61,75,8.5,1,1,0,0,1,0,0,0,0,0,0,9
The Last Kingdom: Season 5,TV,Brazil,4,62,1.75,38,76,12,29,21,8.5,1,1,0,0,1,0,0,0,0,0,0,2
The Last Kingdom: Season 5,TV,United Kingdom,5,70,3.5555555555555554,89,35,9,29,32,8.5,1,1,0,0,1,0,0,0,0,0,0,2
The Last Kingdom: Season 5,TV,United States,4,177,1.9230769230769231,91,46,39,61,75,8.5,1,1,0,0,1,0,0,0,0,0,0,2
The Lincoln Lawyer: Season 1,TV,United States,5,106,5.333333333333333,91,46,9,49,48,7.7,1,1,0,1,0,0,0,0,0,1,0,1
The Losers,Films,United States,2,11,0.75,91,46,4,4,3,6.2,0,0,0,0,1,1,1,0,0,0,0,3
The Lost Daughter,Films,Brazil,2,22,6,38,76,2,8,12,6.7,0,1,0,0,0,0,0,0,0,0,0,3
The Lost Daughter,Films,Mexico,2,24,1.75,30,82,4,13,7,6.7,0,1,0,0,0,0,0,0,0,0,0,4
The Lost Daughter,Films,United Kingdom,3,51,1.7692307692307692,89,35,13,15,23,6.7,0,1,0,0,0,0,0,0,0,0,0,3
The Lost Daughter,Films,United States,2,134,2.6363636363636362,91,46,22,54,58,6.7,0,1,0,0,0,0,0,0,0,0,0,2
The Loud House Movie,Films,United States,2,101,52,91,46,1,48,52,6.1,0,0,0,0,0,1,1,0,0,0,1,4
The Magnificent Seven,Films,United Kingdom,3,5,1,89,35,1,3,1,6.8,0,0,0,0,1,1,0,0,0,0,0,2
The Man from Toronto,Films,United Kingdom,2,6,2,89,35,1,3,2,5.8,0,0,0,0,1,1,1,0,0,0,0,1
The Man from Toronto,Films,United States,2,44,3.6666666666666665,91,46,6,16,22,5.8,0,0,0,0,1,1,1,0,0,0,0,2
The Matrix,Films,United Kingdom,1,216,3.8823529411764706,89,35,17,133,66,8.7,0,0,0,0,1,0,0,0,0,0,0,4
The Missing: Season 1,TV,United Kingdom,4,10,1,89,35,2,6,2,8.2,1,1,0,1,0,0,0,0,0,1,0,5
The Missing: Season 2,TV,United Kingdom,2,10,1,89,35,2,6,2,8.2,1,1,0,1,0,0,0,0,0,1,0,9
The Mist,Films,United States,2,28,0.6,91,46,10,12,6,7.1,0,0,1,0,0,0,0,0,1,0,0,3
The Mitchells vs. The Machines,Films,United States,1,84,6.571428571428571,91,46,7,31,46,7.6,0,0,0,0,0,1,1,0,0,0,1,9
The Old Ways,Films,Mexico,2,6,4,30,82,1,1,4,5.4,0,1,1,0,0,0,0,0,0,0,0,1
The Old Ways,Films,United States,1,13,0.25,91,46,4,8,1,5.4,0,1,1,0,0,0,0,0,0,0,0,8
